189;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;2;10/15/1985;A;
190;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;16;10/15/1985;A;
191;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;23;10/15/1985;E;
192;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;29;10/15/1985;E;
193;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;13;10/15/1985;E;
194;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;2;10/15/1985;E;
195;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;1;10/15/1985;E;
196;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;3;10/15/1985;E;
197;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;2;10/15/1985;E;
198;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;3;10/15/1985;E;
199;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;1;10/15/1985;E;
200;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;5;10/15/1985;E;
201;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;3;10/15/1985;E;
202;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;0;10/15/1985;E;
203;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;4;10/15/1985;E;
204;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;5;10/15/1985;E;
205;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;3;10/15/1985;E;
206;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;12;10/15/1985;E;
207;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;5;10/15/1985;E;
208;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;4;10/15/1985;E;
209;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;7;10/15/1985;E;
210;CURSO DE ECONOMIA POLITICA;NAPOLIONI, CLAUDIO;;1.50;330 N;15;10/15/1985;E;PAGO POR PERDIDA
211;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;6;10/15/1985;E;
212;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;5;10/15/1985;E;
213;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;7;10/15/1985;E;
217;BIOQUIMICA;LEHNINGER, ALBERT;;0.49;574L;10;10/16/1985;E;
220;BIOQUIMICA;LEHNINGER, ALBERT;;1.04;547 L;20;10/16/1985;E;
229;METODOS DE LAS CIENCIAS SOCIALES;DUVERGER, MAURICE;;0.11;300D;8;10/16/1985;E;
230;METODOS DE LAS CIENCIAS SOCIALES;DUVERGER, MAURICE;;0.11;300D;8;10/16/1985;E;
231;METODOS DE LAS CIENCIAS SOCIALES;DUVERGER, MAURICE;;0.11;300D;11;10/16/1985;E;
232;METODOS DE LAS CIENCIAS SOCIALES;DUVERGER, MAURICE;;0.11;300D;7;10/16/1985;E;
233;DESARROLLO DEL NINO, EL;BEE, HELEN;;0.09;612B;15;10/16/1985;E;
234;DESARROLLO DEL NINO, EL;BEE, HELEN;;0.09;612B;26;10/16/1985;E;
235;DESARROLLO DEL NINO, EL;BEE, HELEN;;0.09;612B;20;10/16/1985;E;
236;HIDRAULICA DE LOS CANALES ABIERTOS;CHOW, VEN TE;;0.24;627CH;4;10/16/1986;E;
249;COMPENDIO DE DIDACTICA GENERAL;DE MATTOS, LUIZ A.;;0.06;370D;22;10/16/1985;E;
250;COMPENDIO DE DIDACTICA GENERAL;DE MATTOS, LUIZ A.;;0.06;370D;27;10/16/1985;E;
267;CAFE EN VENEZUELA, EL;HENAO J, JAIME;;0.10;633H;2;10/16/1985;E;
268;CAFE EN VENEZUELA, EL;HENAO J, JAIME;;0.10;633H;4;10/16/1985;E;
269;CAFE EN VENEZUELA, EL;HENAO J, JAIME;;0.10;633H;3;10/16/1985;E;
270;CAFE EN VENEZUELA, EL;HENAO J, JAIME;;0.10;633H;2;10/16/1985;E;
271;CAFE EN VENEZUELA, EL;HENAO J, JAIME;;0.10;633H;2;10/16/1985;E;
272;CAFE EN VENEZUELA, EL;HENAO J, JAIME;;0.10;633H;4;10/16/1985;E;
273;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;0;10/16/1985;E;
274;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;13;10/16/1985;A;
275;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;8;10/16/1985;E;
276;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;12;10/16/1985;E;
277;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;5;10/16/1985;E;
278;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;17;10/16/1985;E;
279;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;18;10/16/1985;A;
280;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;0;10/16/1985;A;
281;NATURALEZA Y PROPIEDADES DE LOS SUELOS;BUCKMAN, HARRY;;0.14;631B;0;10/16/1985;E;
284;TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA;CHAMPERNOWNE, D. G.;;0.07;330CH;5;10/16/1985;E;
285;TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA;CHAMPERNOWNE, D. G.;;0.07;330CH;5;10/16/1985;E;
286;TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA;CHAMPERNOWNE, D. G.;;0.07;330CH;5;10/16/1985;E;
287;TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA;CHAMPERNOWNE, D. G.;;0.07;330CH;9;10/16/1985;E;
288;TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA;CHAMPERNOWNE, D. G.;;0.07;330CH;9;10/16/1985;E;
289;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.07;320S;5;10/16/1985;A;
290;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.07;320S;9;10/16/1985;E;
291;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.07;320S;10;10/16/1985;E;
292;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.07;320S;8;10/16/1985;E;
293;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.07;320S;11;10/16/1985;E;
294;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;0;10/15/1985;E;
295;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;1;10/15/1985;E;
296;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;27;10/15/1985;E;
297;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;29;10/15/1985;E;
298;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;0;10/15/1985;E;
299;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;0;10/15/1985;E;
300;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;38;10/15/1985;E;
301;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;0;10/15/1985;E;
302;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;1;10/15/1985;E;
303;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;0;10/15/1985;E;
304;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;6;10/16/1985;E;
305;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;0;10/16/1985;E;
306;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;5;10/16/1985;E;
307;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;1;10/16/1985;E;
308;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;3;10/16/1985;E;
309;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;0;10/16/1985;A;
310;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;4;10/16/1985;E;
311;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;3;10/16/1985;E;
312;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;5;10/16/1985;E;
313;ECONOMIA POLITICA I;LANGE, OSKAR;;0.07;330L;3;10/16/1985;E;
314;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;1;10/16/1985;E;
315;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;2;10/16/1985;E;
316;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;5;10/16/1985;A;
317;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;1;10/16/1985;E;
318;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;0;10/16/1985;E;
319;PROBLEMARIO LOGICA SIMBOLICA;PAREDES, JULIO C.;;0.01;511P;2;10/16/1985;E;
358;FISIOLOGIA MEDICA;GANONG, WILLIAM;;0.31;612G;6;10/16/1985;E;
375;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;16;10/16/1985;E;
376;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;36;10/16/1985;E;
377;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;14;10/16/1985;E;
378;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;2.09;657 M;26;10/16/1985;E;
379;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;23;10/16/1985;E;
380;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;20;10/16/1985;E;
381;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER;;12.50;657M;35;10/16/1985;E;PAGO POR PERDIDA
382;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;20;10/16/1985;E;
383;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.84;657 M;22;10/16/1985;E;
384;PRINCIPIOS DE AUDITORIA;MEIGS, WALTER B.;;0.29;657M;33;10/16/1985;E;
385;DERECHO DEL TRABAJO;CALDERA, RAFAEL;;0.20;348C;45;10/16/1985;E;
386;DERECHO DEL TRABAJO;CALDERA, RAFAEL;;0.20;348C;21;10/16/1985;E;
387;DERECHO DEL TRABAJO;CALDERA, RAFAEL;;0.20;348C;31;10/16/1985;A;
388;DERECHO DEL TRABAJO;CALDERA, RAFAEL;;0.20;348C;38;10/16/1985;E;
389;HISTORIA DE LA EDUCACION Y LA PEDAGOGIA;LUZURIAGA, LORENZO;;0.56;370L;41;10/16/1985;E;
390;HISTORIA DE LA EDUCACION Y LA PEDAGOGIA;LUZURIAGA, LORENZO;;0.01;370L;22;10/16/1985;A;
391;HISTORIA DE LA EDUCACION Y LA PEDAGOGIA;LUZURIAGA, LORENZO;;0.01;370L;0;10/16/1985;A;
